verb,frequency
have,32
d’etude,29
reach,21
cross,20
take,19
become,16
carry,15
collect,15
come,14
supply,11
bring,10
establish,9
thank,8
contain,7
act,7
slay,6
attach,6
buy,6
defeat,6
flee,6
settle,6
change,6
make,5
ifeste,5
pay,5
obtain,5
purchase,5
grow,5
reveal,4
tract,4
exchange,4
hold,4
amdowa,4
dominate,4
tere,4
find,4
mean,4
benefit,3
sort,3
oc-,3
leave,3
confirm,3
meet,3
reestablish,3
arrive,3
disappear,3
stand,3
apply,3
add,3
grant,3
relyea,3
require,3
encompass,3
substitute,3
testify,3
originate,2
station,2
pass,2
wait,2
receive,2
load,2
return,2
bear,2
prevent,2
extract,2
penetrate,2
list,2
go,2
weigh,2
pan,2
rule,2
join,2
travel,2
visit,2
manufacture,2
reduce,2
produce,2
place,2
enjoy,2
collect70-,2
fit,2
e,2
warn,2
play,2
set,1
start,1
lend,1
offer,1
run,1
camp,1
plague,1
bustle,1
inform,1
trade,1
prive,1
look,1
shin,1
lie,1
describe,1
exercise,1
serve,1
owe,1
break,1
earn,1
remain,1
march,1
consist,1
complete,1
suffer,1
generate,1
experience,1
attrib-,1
survive,1
search,1
goddesse,1
reflect,1
